,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
24.15,8879.4406,12342.22473,15708.48789,17770.8687,18419.79161,18673.17786,18750.52584,18781.53746,18809.99796,18838.45845,18866.91895,18895.37945,18922.03503,18941.00869,18959.98236,18978.95602,18997.92969,19016.90336,19035.87702,19054.85069,19073.82435
26.25,8946.649516,12409.34355,15773.01727,17839.6515,18610.88188,18981.41409,19080.82708,19125.52174,19157.46478,19185.92528,19213.5887,19232.56236,19251.53603,19270.5097,19289.48336,19308.45703,19327.43069,19346.40436,19362.80471,19372.29154,19381.77837
28.35,9006.084128,12468.77817,15828.56465,17883.19682,18713.56214,19204.38237,19329.1135,19374.00912,19402.46962,19424.48478,19443.45845,19462.43212,19475.10119,19484.58802,19494.07485,19503.56168,19513.04852,19522.53535,19532.02218,19541.50902,19550.99585
30.45,9059.886739,12522.58078,15878.60852,17913.49204,18769.25376,19344.83046,19531.93765,19579.78724,19599.49253,19608.97936,19618.4662,19627.95303,19637.43986,19646.9267,19656.41353,19665.90036,19675.38719,19684.87403,19694.36086,19703.84769,19713.33453
32.55,9109.025796,12571.71983,15923.92046,17935.77373,18798.69503,19425.62438,19675.24104,19746.98336,19758.60855,19768.09538,19777.58222,19787.06905,19796.55588,19806.04271,19815.52955,19825.01638,19834.50321,19843.99005,19853.47688,19862.96371,19872.45055
34.65,9154.222427,12616.91646,15965.49005,17955.89409,18818.85642,19467.28773,19764.55538,19874.89347,19908.19843,19921.05966,19930.54649,19940.03332,19949.52015,19959.00699,19968.49382,19977.98065,19987.46749,19996.95432,20006.44115,20015.92799,20025.41482
36.75,9195.668099,12658.36214,16003.81863,17974.67265,18834.73196,19487.76852,19825.75027,19964.42558,20005.00002,20027.2319,20046.20556,20055.83636,20065.3232,20074.81003,20084.29686,20093.7837,20103.27053,20112.75736,20122.24419,20131.73103,20141.21786
38.85,9233.554244,12696.24828,16038.7532,17991.78254,18849.20064,19502.5545,19860.72801,20036.38664,20073.23328,20092.20694,20108.96975,20118.45658,20127.94341,20137.43024,20146.91708,20156.40391,20165.89074,20175.37758,20184.86441,20194.35124,20203.83808
40.95,9268.104552,12730.79859,16070.26614,18007.11028,18862.03285,19512.54641,19875.89922,20082.23494,20124.79678,20143.77045,20154.89583,20164.38267,20173.8695,20183.35633,20192.84317,20202.33,20211.81683,20221.30366,20230.7905,20240.27733,20249.76416
43.05,9300.656621,12763.35066,16099.94735,18021.69069,18874.14435,19521.31024,19886.06823,20111.11981,20172.19536,20191.29991,20200.78675,20210.27358,20219.76041,20229.24725,20238.73408,20248.22091,20257.70775,20267.19458,20275.96449,20275.96449,20275.96449
45.15,9331.282537,12793.97658,16127.83723,18035.66572,18885.58318,19529.65554,19893.98308,20122.63959,20202.20782,20228.11274,20237.59957,20247.08641,20256.57324,20266.06007,20275.54691,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
47.25,9360.236296,12822.93033,16154.09247,18049.06876,18896.50226,19537.38901,19899.05162,20129.59747,20218.89789,20249.75113,20263.13903,20272.62587,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
49.35,9387.267376,12849.96141,16178.64661,18062.04052,18907.07222,19544.84623,19903.91642,20135.34333,20226.81114,20258.85884,20268.34567,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
51.45,9412.47811,12875.17215,16201.53375,18074.47765,18917.18131,19552.16129,19908.78122,20137.86008,20232.23979,20263.63224,20273.11907,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
53.55,9436.479038,12899.17308,16223.55595,18086.53082,18926.98242,19558.94145,19913.44288,20140.07222,20237.31111,20268.38532,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
55.65,9459.179022,12921.87306,16244.64284,18098.1584,18936.40364,19565.58136,19918.0399,20142.02613,20238.21333,20270.54855,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
57.75,9480.813889,12943.50793,16264.74997,18109.5386,18945.61237,19572.02578,19922.45893,20143.96726,20239.11555,20270.66696,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
59.85,9501.084873,12963.77891,16283.82275,18120.77127,18954.67358,19578.32267,19926.73045,20145.9084,20240.01777,20270.78536,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
61.95,9520.611267,12983.30531,16302.27845,18131.89945,18963.69595,19584.58073,19930.96312,20147.84954,20240.91999,20270.90377,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449,20275.96449
